id	kind	statement	rocq-obligation	tla-obligation	smt-obligation	executable-oracle	required-red-test	causal-mutant	acceptance-state
SI-KEY-003	safety	Distinct caller keys cannot share one admitted encoded byte string	key_encoding_is_injective	CanonicalRoundTrip	Q13_KEY_COLLISION_IS_REJECTED	oracle_key_injectivity	prop_key_codec_collisions_fail_closed	mutant_accept_key_collision	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-PLAN-001	safety	Plan bytes bind schema keys dependencies effects costs budget semantic profile and codec identity	plan_projection_binds_every_field	ExactPlanIdentity	Q14_PLAN_FIELD_CHANGE_BREAKS_EQUALITY	oracle_plan_field_binding	prop_plan_bytes_bind_every_identity_field	mutant_omit_plan_budget	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-PLAN-002	refinement	Decoding an encoded plan reconstructs an exactly equal schedlib structural identity	plan_decode_encode_refines_identity	CanonicalRoundTrip	Q15_PLAN_ROUND_TRIP_IS_EXACT	oracle_plan_round_trip	prop_plan_round_trip_is_exact	mutant_swap_plan_tasks	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-PLAN-003	algebraic	Encoding any admitted decoded plan reproduces byte-identical canonical plan bytes	canonical_plan_encoding_is_idempotent	CanonicalRoundTrip	Q16_CANONICAL_REENCODE_IS_UNIQUE	oracle_plan_canonicality	prop_plan_reencode_is_byte_identical	mutant_preserve_noncanonical_dependency	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-DEP-001	safety	Every dependency endpoint names a task in the declared dense domain	dependency_endpoints_are_bounded	CanonicalPlan	Q17_DEPENDENCY_ENDPOINT_IS_IN_RANGE	oracle_dependency_bounds	prop_dependency_endpoints_are_in_range	mutant_accept_unknown_dependency	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-DEP-002	safety	Dependencies are lexicographically increasing and contain no duplicate	strict_order_implies_no_duplicate	CanonicalPlan	Q18_DEPENDENCIES_ARE_STRICTLY_ORDERED	oracle_dependency_order	prop_dependencies_are_sorted_unique	mutant_accept_duplicate_dependency	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-EFFECT-001	safety	Every task read and write resource set is strictly increasing and duplicate free	strict_resources_are_canonical	CanonicalPlan	Q19_EFFECTS_ARE_STRICTLY_ORDERED	oracle_effect_order	prop_effect_sets_are_sorted_unique	mutant_accept_duplicate_resource	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-PROFILE-001	portability	The semantic profile is exact canonical UTF-8 and is never normalized implicitly	utf8_bytes_preserve_profile	CanonicalPlan	Q20_INVALID_UTF8_IS_REJECTED	oracle_profile_bytes	prop_semantic_profile_is_exact_utf8	mutant_lossy_profile_decode	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-DIGEST-001	security	Plan and checkpoint digests use distinct immutable derive-key domains	digest_domains_are_distinct	DigestDomainSeparation	Q21_DIGEST_DOMAINS_DIFFER	oracle_digest_domain_separation	prop_digest_domains_are_separate	mutant_shared_digest_context	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-DIGEST-002	security	A digest invocation binds format schema complete length and every frame byte	digest_input_binds_complete_frame	DigestCoversFrame	Q22_DIGEST_OMISSION_CHANGES_CONTROL	oracle_digest_input_binding	prop_digest_binds_schema_length_and_bytes	mutant_omit_digest_length	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-DIGEST-003	safety	Digest mismatch returns no decoded object and performs no semantic publication	digest_mismatch_has_no_result	DigestMismatchRejects	Q23_DIGEST_MISMATCH_HAS_NO_RESULT	oracle_digest_mismatch	prop_digest_mismatch_fails_closed	mutant_decode_after_digest_mismatch	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-001	safety	A checkpoint embeds a complete canonical plan that must equal the active structural plan	exact_plan_precedes_checkpoint	ExactPlanIdentity	Q24_FOREIGN_PLAN_IS_REJECTED	oracle_checkpoint_plan_binding	prop_checkpoint_requires_exact_active_plan	mutant_accept_foreign_plan	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-002	safety	A matching finite plan digest never substitutes for exact structural plan equality	digest_is_not_structural_equality	ExactPlanIdentity	Q25_DIGEST_MATCH_CANNOT_HIDE_PLAN_MISMATCH	oracle_digest_not_identity	prop_plan_digest_never_replaces_exact_equality	mutant_trust_plan_digest_only	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-003	resource	Checkpoint event count is at most task count plus one and receipt count is at most event count	checkpoint_counts_are_bounded	CanonicalCheckpoint	Q26_CHECKPOINT_COUNTS_ARE_BOUNDED	oracle_checkpoint_counts	prop_checkpoint_counts_are_bounded	mutant_accept_excess_event	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-004	safety	Success events form exactly the initial canonical task prefix	checkpoint_successes_form_prefix	CanonicalCheckpoint	Q27_SUCCESS_EVENTS_FORM_PREFIX	oracle_success_prefix	prop_checkpoint_successes_form_task_prefix	mutant_skip_success_task	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-005	safety	At most one terminal event exists and it is the last event with a valid boundary	terminal_event_is_unique_last	CanonicalCheckpoint	Q28_TERMINAL_EVENT_IS_UNIQUE_LAST	oracle_terminal_event	prop_checkpoint_terminal_is_unique_last	mutant_append_after_terminal	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-006	refinement	The zero-based resume cursor is derived uniquely from the success-prefix length	cursor_equals_success_prefix	CanonicalCheckpoint	Q29_CURSOR_IS_DERIVED	oracle_resume_cursor	prop_resume_cursor_is_derived	mutant_store_untrusted_cursor	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-007	safety	Published receipts are represented by one canonical prefix length no greater than events	receipts_are_event_prefix	CanonicalCheckpoint	Q30_RECEIPTS_FORM_PREFIX	oracle_receipt_prefix	prop_receipts_are_canonical_prefix	mutant_accept_receipt_gap	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-008	safety	Only the six declared event-kind discriminators are admitted	event_kind_domain_is_closed	CanonicalCheckpoint	Q31_UNKNOWN_EVENT_KIND_IS_REJECTED	oracle_event_kind_domain	prop_unknown_event_kind_is_rejected	mutant_accept_unknown_event_kind	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-009	security	Checkpoint bytes contain no success failure or incomplete application payload	checkpoint_projection_erases_payload	not-applicable	Q32_CHECKPOINT_HAS_NO_PAYLOAD_FIELD	oracle_payload_erasure	prop_checkpoint_wire_contains_no_payload	mutant_serialize_application_payload	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CP-010	refinement	Checkpoint encode and decode preserve the exact plan event kinds receipt prefix and derived cursor	checkpoint_round_trip_is_exact	CanonicalRoundTrip	Q33_CHECKPOINT_ROUND_TRIP_IS_EXACT	oracle_checkpoint_round_trip	prop_checkpoint_round_trip_is_exact	mutant_change_published_prefix	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-REPLAY-001	refinement	Resuming a decoded checkpoint produces the same canonical observation as uninterrupted schedlib execution	decoded_resume_refines_serial	ReplayMatchesSerial	Q34_REPLAY_OBSERVATION_MATCHES_SERIAL	oracle_replay_observation	prop_decoded_resume_matches_serial	mutant_resume_from_zero	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-BYTE-001	refinement	Re-encoding a decoded checkpoint before or after equivalent replay is byte identical	checkpoint_bytes_are_replay_stable	CanonicalRoundTrip	Q35_REPLAY_BYTES_ARE_STABLE	oracle_replay_bytes	prop_replay_checkpoint_bytes_are_stable	mutant_reorder_replay_events	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-STACK-001	resource	Native call-stack depth is constant in tasks dependencies resources events keys profiles and bytes	iterative_cursor_has_constant_stack	TypeOK	Q36_STACK_MEASURE_IS_CONSTANT	oracle_iterative_stack_machine	small_stack_deep_codec_lifecycle	mutant_recursive_field_decode	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-COMPLEX-001	complexity	Encoding admission decoding hashing and reconstruction use linear work and retained heap	linear_cursor_work_and_heap	WorkNeverExceedsBudget	Q37_WORK_AND_HEAP_ARE_LINEAR	oracle_complexity_accounting	prop_codec_work_and_heap_are_linear	mutant_rescan_prefix_per_event	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-PAR-001	refinement	Concurrent invocations over immutable equal inputs produce byte-identical output and equal errors	pure_encoding_is_deterministic	ConcurrentCallsAreDeterministic	Q38_CONCURRENT_RESULTS_ARE_EQUAL	oracle_parallel_determinism	prop_parallel_encodes_are_deterministic	mutant_global_sequence_number	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-ERROR-001	safety	Every malformed input returns one typed error without panic partial object or hidden side effect	malformed_input_has_typed_rejection	MalformedFailsClosed	Q39_MALFORMED_INPUT_HAS_NO_PUBLICATION	oracle_malformed_fail_closed	prop_malformed_bytes_never_panic_or_publish	mutant_partial_object_on_error	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
